"Verbatim Question ↔ Answer Extract (straight from the uploaded questionnaire, no interpretation)",,,
Section,Q#,Question (verbatim from questionnaire),Answer (verbatim as written by business)
,3.6,At what score should each grade apply?,A ≥ 100% of expected · B ≥ 75% · C ≥ 50% · otherwise D
,3.7,"If a DeHaat Center is graded D on outstanding payments, should we block new orders until it pays? (safety rule - locked)",Yes — block new order booking until the balance is cleared
Section 4 — Objective 4: Overall Sales Growth,,,
,4.1,What should this objective mainly measure?,Both — momentum sets the daily priority; reactivation builds the visit list
,4.2,How should we measure “momentum” (speed of sales)?,Sales ÷ all working days (including days with no selling)
,4.3,How should we measure “spread” (how many DeHaat Centers are active)?,"Number of DeHaat Centers that bought something, compared with a 12-month base"
,4.4,What growth targets (multipliers) should apply?,Custom: (according to AOP)
,4.5,At what score should each grade apply?,Custom cut-offs: A ___ / B ___ / C ___  [left blank in source document]
Section 5 — Objective 5: Long-Term Growth (Farmer Meetings & New DCs),,,
,5.1,What should count as a valid “farmer meeting”?,"At least 50 farmers and above for Mega farmer meeting, and for regular 10 farmers"
,5.2,What should count as a “new DeHaat Center successfully onboarded”?,The DeHaat Center places its first order
,5.3,What should the target be for farmer meetings?,2 for Mega farmer meeting per month
,5.4,What should the target be for new DeHaat Centers onboarded?,2 for New DC onboarding per month
,5.5,How should the two parts (meetings and onboarding) be weighted against each other?,50% / 50%
,5.6,How often should this objective be measured?,Monthly
Section 6 — Rules That Remove a DeHaat Center From Consideration Entirely,,,
,6.1,Which DeHaat Center statuses should be excluded from every list?,"Inactive or closed DeHaat Centers, also depends on the supply chain variable cost"
,6.2,What is the minimum number of days since the last visit before a DeHaat Center can be listed again?,5 days
,6.3,Should we skip a DeHaat Center when its crop or product is currently out of season?,"No, Cattle feed and other products will be used constantly"
,6.4,Which conditions should completely block a DeHaat Center from appearing on any list?,"For OD, SE should visit them, but in case of legal issue we can remove"
Section 7 — Turning the 5 Objectives Into One Daily Priority,,,
,7.1,How many objectives should feed into the daily ranking?,The top 3 objectives
,7.2,"How much weight should the 1st, 2nd, and 3rd priority objectives get?",40% / 35% / 25%
,7.3,What should the default order of importance be across objectives?,A custom order  [no specific order given in source document]
,7.4,Should any special override rules apply?,"If every objective is graded D, switch the priority order to: DeHaat Center Visits, Private Label, Overall Sales, Outstanding Payments, Long-Term Growth"
Section 8 — Turning Priorities Into a Realistic Daily Plan,,,
,8.1,"How many objectives should an SE focus on per day, and only 1 long activity per day?",Max 3 objectives per day; allow only 1 long-cycle activity per day
,8.2,What is the SE's daily working capacity?,Custom: 8 hour day / 60 minutes calls / 7 hours field
,8.3,How long should we assume each activity takes?,Phone call: 10 minutes · DeHaat Center visit: 45-60 minutes · Farmer meeting: 180 minutes (takes the whole day if it is Mega farmer) · New-DeHaat-Center onboarding: 120 minutes
,8.4,"What is the maximum number of DeHaat Centers per objective, per day or week?",DeHaat Center Visits ≤ 6/day · Outstanding Payments ≤ 4/day · Private Label ≤ 5/day · Long-Term Growth ≤ 2/week
,8.5,What conditions should qualify a DeHaat Center to appear on each objective's list?,Custom rules  [no specific thresholds given in source document]
,8.6,What should count as a “win” for each objective?,Private Label = order booked · DeHaat Center Visits = visit completed · Outstanding Payments = payment received · Overall Sales = order placed · Long-Term Growth = meeting held / DeHaat Center onboarded
,8.7,How should we avoid contacting the same DeHaat Center too often (to prevent fatigue)?,Maximum 2 attempts per DeHaat Center per 3 days gap; wait 2 days after a failed call and according to route planning after a failed visit; reduce priority by 30% after 2 attempts
,8.8,Are there any other safety rules we should apply?,Maximum discount the SE or system is allowed to offer: ___% [left blank]; also DC approval needed on system for order creation
Section 9 — Open Questions (business's own words),,,
,9.1,"Which objective matters most to the business this quarter, and why?","Cash collection is under pressure this quarter, Outstanding Payments might matter more than growing overall sales."
,9.2,"Should priorities be different by region, area, or season? If so, how?","Farmer meetings might matter more in a sowing-season region, while Outstanding Payments might matter more in a region with a history of late payments."
,9.3,Are there important goals missing from the 5 objectives above that the field team actually needs?,Quality issue
,9.4,Do any of the definitions above not match how your field or finance teams currently measure things?,0.2 / 0.5 / 0.8 / 1.0  [same figure as Q3.3 — likely a copy/paste repeat rather than a new answer]
,9.5,"Which of these settings should the business be able to change on its own later, versus keep fixed?",Agree
