BO Scoring Engine — Master Configuration Table (Sections 0-8),,,,,,,,,
Section,Q#,Parameter / Topic,Question,System Default (★ Today),Configured Value (Business Decision),Calculation Formula / Logic,Status,Locked / Adjustable,Follow-up Needed
,5.1,Valid farmer meeting,What should count as a valid 'farmer meeting'?,★ Logged meeting with at least ___ farmers present,Two-tier definition — Mega farmer meeting: 50+ farmers · Regular farmer meeting: 10+ farmers,"Valid_Meeting = (Attendee_Count ≥ 50 AND Meeting_Type=""Mega"") OR (Attendee_Count ≥ 10 AND Meeting_Type=""Regular"")",Overridden,Adjustable,
,5.2,New DC onboarded definition,What should count as a new DC 'successfully onboarded'?,★ The DC places its first order,Confirmed — DC places its first order,Onboarded = (First_Order_Placed = TRUE),Confirmed Default,Adjustable,
,5.3,Farmer meeting target,What should the target be for farmer meetings?,"★ 0.25 × PL-active DCs, capped at 6/period",Flat target — 2 Mega farmer meetings per month,Meeting_Target = 2 Mega meetings / month (flat; not scaled by count of PL-active DCs),Overridden,Adjustable,
,5.4,New DC onboarding target,What should the target be for new DCs onboarded?,"★ 0.02 × total territory DCs, minimum 1",Flat target — 2 new DCs onboarded per month,Onboarding_Target = 2 new DCs / month (flat; not scaled by territory size),Overridden,Adjustable,
,5.5,BO5 internal weighting,How should farmer meetings and onboarding be weighted against each other?,★ Farmer meetings 60% / New DCs 40%,50% / 50%,"BO5_Score = 0.50 × Meeting_Score_% + 0.50 × Onboarding_Score_%, where Meeting_Score_% = Meetings_Held ÷ Meeting_Target and Onboarding_Score_% = DCs_Onboarded ÷ Onboarding_Target",Overridden,Adjustable,
,5.6,BO5 measurement frequency,How often should this objective be measured?,★ Weekly,Monthly,"Recalculate BO5_Score on Calculation_Frequency = ""Monthly"" (was ""Weekly"")",Overridden,Adjustable,
Section 6 — Rules That Remove a DC From Consideration Entirely,,,,,,,,,
,6.1,Excluded DC statuses,Which DC statuses should be excluded from every list?,★ Inactive or closed DCs,Inactive/closed DCs excluded; additionally factor in supply-chain variable cost as an exclusion consideration,"Exclude DC WHERE Status IN (""Inactive"",""Closed"") OR Supply_Chain_Cost_Ratio > Dynamic_Outlier_Threshold(route/cluster)",Agent-Determined (Dynamic),Adjustable,"Data Agent computes supply-chain variable cost per DC at query time (freight distance, delivery frequency, order size) and excludes outlier-cost DCs relative to their route/cluster, instead of one fixed ₹ threshold"
,6.2,Min days since last visit (global),Minimum days since last visit before a DC can be listed again?,★ 5 days,Confirmed — 5 days,Exclude DC FROM all lists WHERE Days_Since_Last_Visit < 5,Confirmed Default,Adjustable,
,6.3,Seasonal skip rule,Should we skip a DC when its crop/product is out of season?,★ Yes (requires crop calendar),"No — cattle feed and other products are used constantly, so no seasonal skip applied",Seasonal_Skip = FALSE (always included; no crop-calendar filter applied to any DC),Overridden,Adjustable,
,6.4,Full block conditions,Which conditions should completely block a DC from appearing on any list?,★ Credit blocked · ★ Blacklisted,"For an overdue (OD) DC, the SE should still visit (not fully blocked); only a legal/compliance hold removes the DC from all lists entirely","Full_Block = (DC.Legal_Hold = TRUE); Credit_Blocked/Blacklisted DCs evaluated live via CONFIRMED field (Data Norm Agent, Source 3d, live query): sale_orderrequest.credit_on_hold (boolean) / credit_on_hold_reason — not auto-blocked, evaluated case by case",Agent-Determined (Dynamic),Adjustable,"Agent always blocks DCs under Legal_Hold. For Credit_Blocked/Blacklisted DCs, it now reads the confirmed sale_orderrequest.credit_on_hold / credit_on_hold_reason fields directly (previously described only as ""live OD status and SE/DC communication notes"" with no concrete source) to decide visit-eligibility case by case"
Section 7 — Turning the 5 Objectives Into One Daily Priority,,,,,,,,,
,7.1,# objectives feeding ranking,How many objectives should feed into the daily ranking?,★ Top 3 objectives,Confirmed — top 3 objectives,Ranked_Objectives = TOP 3 objectives BY Objective_Score DESC (per DC or per SE),Confirmed Default,Adjustable,
,7.2,1st/2nd/3rd priority weighting,"How much weight should the 1st, 2nd, 3rd priority objectives get?",★ 40% / 35% / 25%,Confirmed — 40% / 35% / 25%,Daily_Priority_Score = 0.40 × Score_Rank1 + 0.35 × Score_Rank2 + 0.25 × Score_Rank3,Confirmed Default,Adjustable,
,7.3,Default tie-break order,What should the default order of importance be across objectives?,"★ Private Label, Visits, Overall Sales, Outstanding Payments, Long-Term Growth","Custom order confirmed: Outstanding Payments, Private Label Sale, DC Visits, Long-Term Growth","Tie_Break_Order = [Outstanding Payments, Private Label, DC Visits, Long-Term Growth, Overall Sales(position TBD)]",Overridden,Adjustable,"Overall Sales (BO4) is not placed in the order the business gave — only 4 of the 5 objectives are sequenced. Confirm where BO4 sits (e.g. last, since it's excluded here) before this feeds the live tie-break logic"
,7.4,Override rules,Should any special override rules apply?,"★ (a) Outstanding=D caps Overall Sales at B · ★ (b) If all objectives=D, switch order to Visits, PL, Overall Sales, Outstanding, Long-Term","Rule (b) explicitly confirmed — all-D reorder to Visits, PL, Overall Sales, Outstanding, Long-Term. Rule (a) [Outstanding=D caps Overall Sales at B] not explicitly re-confirmed","Rule_A [applied by default]: IF BO3_Grade=""D"" THEN BO4_Grade = MIN(BO4_Grade,""B""). Rule_B [confirmed]: IF ALL(BO1..BO5 Grades)=""D"" THEN Priority_Order = [Visits, PL, Overall Sales, Outstanding, Long-Term]",Agent-Determined (Dynamic),Adjustable,"Agent applies rule (a) by default as a conservative precaution and flags 'applying default override, please confirm' in its output until the business explicitly turns it off"
Section 8 — Turning Priorities Into a Realistic Daily Plan,,,,,,,,,
,8.1,Objectives per day + long-cycle cap,"How many objectives per day, and only 1 long activity/day?",★ Max 3 objectives/day; 1 long-cycle activity/day,Confirmed — max 3 objectives/day; 1 long-cycle activity/day,Max_Objectives_Per_Day = 3; Max_Long_Cycle_Activities_Per_Day = 1 (long-cycle = farmer meeting or onboarding),Confirmed Default,Adjustable,
,8.2,SE daily working capacity,What is the SE's daily working capacity?,★ 8-hour day = 180 min calls + 5 hrs field,Custom — 8-hour day = 60 min calls + 7 hrs field,Call_Minutes_Available = 60; Field_Minutes_Available = 7 × 60 = 420; Total_Minutes = 480 (8 hrs),Overridden,Adjustable,
,8.3,Assumed activity durations,How long should we assume each activity takes?,★ Call 6 min · Visit 45 min · Farmer meeting 180 min · Onboarding 120 min,Custom — Call 10 min · Visit 45-60 min · Farmer meeting 180 min (or full day if Mega meeting) · Onboarding 120 min,"Call_Duration = 10 min; Visit_Duration = 45–60 min; Meeting_Duration = IF(Meeting_Type=""Mega"", Full_Day, 180 min); Onboarding_Duration = 120 min",Overridden,Adjustable,
,8.4,Max DCs per objective per day/week,"Max number of DCs per objective, per day or week?",★ Visits ≤6/day · Outstanding ≤4/day · PL ≤5/day · Long-Term ≤2/week,Confirmed — as above,"Daily_Plan_Cap = {Visits:6/day, Outstanding:4/day, PL:5/day, Long_Term:2/week}",Confirmed Default,Adjustable,
,8.5,Qualification conditions per list,What conditions qualify a DC to appear on each objective's list?,"★ Visits: not visited in 14 days · Outstanding: balance ≥₹5,000 & overdue ≥30 days · PL: <3 orders in 30 days · Long-Term: had PL sales in last 90 days","Confirmed with one override — Visits: not visited in 14 days (= ★ default) · Outstanding: balance ≥₹20,000 & overdue ≥15 days (overridden from ★ ₹5,000/30 days) · PL: <3 orders in 30 days (= ★ default) · Long-Term: had PL sales in last 90 days (= ★ default)",Qualify_Visits = (Days_Since_Last_Visit > 14); Qualify_Outstanding = (Balance ≥ 20000 AND Days_Overdue ≥ 15); Qualify_PL = (PL_Order_Count_30d < 3); Qualify_LongTerm = (Had_PL_Sale_Last_90d = TRUE),Overridden,Adjustable,"Outstanding threshold moved from ₹5,000/30 days to a higher balance (₹20,000) but a shorter overdue window (15 days) — worth confirming this is intentional, since it surfaces fewer but larger, more urgent debts rather than more numerous smaller ones"
,8.6,'Win' definition per objective,What should count as a 'win' for each objective?,★ PL=order booked · Visits=completed · Outstanding=payment received OR firm promise-to-pay date · Overall Sales=order placed · Long-Term=meeting held/DC onboarded,"Same, except Outstanding = payment received only (promise-to-pay date removed as a qualifying win)",PL_Win=(Order_Booked=TRUE); Visit_Win=(Visit_Completed=TRUE); Outstanding_Win=(Payment_Received=TRUE); Sales_Win=(Order_Placed=TRUE); LongTerm_Win=(Meeting_Held=TRUE OR DC_Onboarded=TRUE),Overridden,Adjustable,
,8.7,Contact-fatigue limits,How should we avoid contacting the same DC too often?,"★ Max 2 attempts/week; wait 2 days after failed call, 3 days after failed visit; -30% priority after 2 attempts",Max 2 attempts per 3-day gap; wait 2 days after a failed call; wait per route-planning schedule (not a fixed day count) after a failed visit; -30% priority after 2 attempts,Max_Attempts = 2 per rolling 3-day window; Wait_After_Failed_Call = 2 days; Wait_After_Failed_Visit = Route_Plan_Schedule (variable); IF Attempts≥2 THEN Priority = Priority × (1 − 0.30),Overridden,Adjustable,
,8.8,Additional safety rules,Are there any other safety rules we should apply?,★ A visit must happen before booking a PL order,Visit-before-PL-order rule retained; add: maximum discount the SE/system may offer (% not yet specified) and DC approval required in-system before order creation,"REQUIRE Visit_Completed=TRUE BEFORE Order_Booking(""Private Label""); Discount_% ≤ [Max_Discount_Dynamic]; REQUIRE DC_Approval_In_System=TRUE BEFORE Order_Creation",Agent-Determined (Dynamic),Adjustable,"Agent applies the last-approved discount ceiling for that DC's category as a conservative default, and routes any exception to a human for approval before the SE is told to offer it — this one stays close to a safety rule even though it's agent-assisted"
,8.9,Monthly travel distance cap,What is the maximum distance an SE may travel across all visits in a month?,(new parameter — no prior system default),"1,600 km per SE per month — CORRECTED: ADVISORY / INFORMATIONAL ONLY, not a hard cap. The real hard constraint governing travel is time-based: max 3 hours (180 min) of travel time in the field per day (see Routing Agent R1.2), not a distance figure.","Total_Monthly_Travel_KM = SUM(google_distance) — tracked and shown, never blocks route generation or rejects a plan. Distance is advisory throughout; only Field_Minutes_Available (420 min) and the 180-min travel-time ceiling are hard caps.",Overridden,Adjustable,"Corrected per Routing Agent OQ-4/13 and direct business confirmation: previously documented here as a hard reject/re-sequence trigger, which was wrong — 1,600 km/month (and the related 80 km/day figure) are informational only"
,8.10,Maximum daily tasks,How many tasks maximum can an SE be assigned in a single day?,(new parameter),"5 tasks maximum per day — CLARIFIED: this is a CEILING, not a guaranteed flat count. It's achievable only in the best case, when travel time between that day's actual stops stays well under the 180-min ceiling (R1.2). As travel time grows toward that ceiling, fewer visit-slots fit in the remaining budget and the effective number of tasks goes down — see Routing Agent R1.4 for the live formula.","COUNT(Daily_Task_List) ≤ 5 at the BO Scoring Engine stage (visit-duration-only math, no travel time yet). The Routing Agent re-checks this against REAL travel time between the specific candidate stops (Haversine-based) and may trim it further — see R1.4, GR-R5. 5 is a nominal upper bound handed downstream, not the guaranteed daily count.",New Parameter,Adjustable,"Reconcile with 8.1's 'max 3 objectives/day' and 8.4's per-objective caps (Visits≤6/day, PL≤5/day) — those predate this global 5-task cap. Recommended reading: 8.1 governs which objective categories feed the candidate pool, this 8.10 caps actual DC engagements (which may bundle multiple objectives per 8.12), and the Routing Agent is the stage that actually enforces the travel-time-driven reduction"
,8.11,DC Visit / Farmer Meeting exclusivity,What happens to the rest of the daily plan if a Farmer Meeting is scheduled? And can a DC Visit day also carry a Farmer Meeting?,(new parameter — tightens 8.1's existing 1-long-cycle-activity/day rule),"Mutually exclusive, both directions: if the system proposes a DC Visit day, no Farmer Meeting exists in that day's plan, and if a Farmer Meeting is scheduled, no DC Visit exists in that day's plan","IF Day_Type = ""Farmer Meeting"": Daily_Task_List = [Farmer_Meeting_Task] only, DC_Visit tasks excluded.
IF Day_Type = ""DC Visit"": Daily_Task_List = [DC_Visit_Task, ...] only, Farmer_Meeting_Task excluded.
Day_Type is decided once per day by Layer 1 before either branch runs — never both in the same Daily_Task_List",New Parameter,Adjustable,"8.1 previously allowed 1 long-cycle activity alongside other objectives on the same day — this supersedes that: the two Visit Types (per the ""Visit Type to Purpose (System)"" sheet) are now a hard either/or for the whole day, not just a cap on how many long-cycle activities fit"
,8.12,DC Visit purpose bundling,Can a single DC Visit carry more than one Visit Purpose in the same meeting?,(new parameter),"Yes — a single DC Visit can bundle multiple Visit Purposes from the real system list (Promise To Bill (P2B), Promise To Pay / Collection, Query Resolution, Sale, Stock at DC) in one meeting, as mapped in the ""Visit Type & Purpose Mapping"" and ""Visit Type to Purpose (System)"" sheets, rather than requiring a separate visit per purpose","Matched_Purposes(DC) = subset of {Promise_To_Bill, Promise_To_Pay_Collection, Query_Resolution, Sale, Stock_at_DC} that apply this visit:
  IF DC ∈ Qualify_Outstanding (8.5) → include Promise_To_Pay_Collection (and Promise_To_Bill where a billing commitment is the ask)
  IF DC ∈ Qualify_PL or Qualify_Visits-driven order opportunity → include Sale
  Query_Resolution and Stock_at_DC may be logged ad hoc by the SE regardless of what the algorithm pre-loaded
Task_Weight(DC) = 1 regardless of |Matched_Purposes(DC)| — one DC Visit = one task slot, however many purposes it carries",New Parameter,Adjustable,"Farmer Meeting has its own multi-purpose set (Farmer App, Farmer Credit, Hyperlocal Input/Service, Insurance, Other/Private Label Product Promotion, Sampoorna) that can similarly co-occur within one meeting — this bundling behavior applies within a Farmer Meeting too, it just never crosses over into a DC Visit on the same day per 8.11"
