Guardrails — Controls on Every Agent-Produced Outcome,,,,
"Every dynamic decision the Data Agent / SE Daily Planner Agent makes (see Agent-Determined Parameters and Daily Task Assignment Formula) must stay inside one of these guardrails. Where a guardrail would be violated, the agent fails safe — it falls back to the ★ default, suppresses the output, or escalates to a human — it never silently produces an out-of-bounds result.",,,,
GR#,Guardrail Rule,Applies To,Enforcement Point,Failure Behavior
GR-18,"If an SE's OD% crosses 10%, this is surfaced as a top-priority alert in that day's output regardless of where BO3 ranks in the top-3",Incentive 10.4,"Post-generation, always-on check",Alert shown even if it means displacing a lower-priority task from the 5-slot list
GR-19,"If HR flags a compliance issue against the SE, the agent suppresses incentive-framing language (""this boosts your payout"") until the hold clears",Incentive 10.7,Pre-generation flag check,Plan still generates normally; only the incentive-motivational framing is withheld
GR-20,"If Field Crop's seasonal growth multiplier is still undefined, BO4 momentum scoring for Field Crop SKUs is flagged provisional rather than silently using a placeholder",4.4,At computation time,Output labelled 'provisional — pending seasonal table' rather than presented as a normal grade
F — Fail-Safe Behavior (missing/stale data),,,,
GR-21,"If DC-to-SE mapping correction is not complete for a territory, show a mapping-correction alert instead of an Effort target that day",2.3,At computation time,No Effort task assigned for that SE; alert routed to the territory manager instead
GR-22,"If the live AOP figure needed for a computation isn't available at query time, fall back to the ★ system default rather than inventing a number","1.2, 1.3, 4.4",At computation time,"★ default used, and the output notes a fallback occurred so it can be corrected once AOP data is available"
GR-23,"If a DC's core master fields (status, credit flag) haven't refreshed within the freshness window, exclude that DC from today's list rather than act on stale data","6.1, 6.4",Pre-generation data check,DC omitted from the candidate pool for that day only; re-evaluated once data refreshes
GR-24,"Liquidation stays unscored and excluded from any grade or candidate pool until a Liquidation_Rate formula is signed off, even though a real DC-joinable data source now exists",Implementation Decision Log,"Pre-generation, architectural",A confirmed data source is not the same as a confirmed formula — the agent must not start scoring Liquidation just because invoice_liquidation_with_pog is now known to join cleanly to DCs
GR-25,"BO4 momentum grading must read its multiplier from 4.4's live category-specific values (Cattle Feed ×1.2, Crop Nutrition ×1.15, Crop Protection ×1.2, Field Crop = seasonal/TBD), never a hardcoded constant maintained separately in implementation code","4.4, Implementation Decision Log",Pre-deployment check,"Any implementation multiplier that doesn't match 4.4 blocks BO4 grading from going live until reconciled — RECURRING: ×1.05 has now surfaced independently in TWO documents (the Routing Agent build session and the Data Normalization Agent's own Source 5 summary), neither sourced from this sheet. Treat as a systemic stale figure, not an isolated typo — worth tracing where ×1.05 originally came from before it propagates further downstream"
GR-26,"Photo_Logged must be derived from a JSON image array (task_management_taskdetails.task_details — does the array have ≥1 entry), never read as a boolean column — no such column exists","2.1, Data Norm Agent Source 4",At computation time,"An implementation that reads Photo_Logged as a simple flag will silently fail or always return the wrong value — since Visit_Duration_Minutes is now fixed at 45 min (GR-derived from 2.1), Photo_Logged alone determines BO2's Valid_Visit outcome, making this derivation especially high-stakes to get right"
GR-27,"DC-level current inventory stays out of scope entirely (business decision, Data Norm Agent Section 10) — no agent should attempt to source or infer per-DC stock quantity",Data Norm Agent Source 3i,Architectural,"products_batch is warehouse-level only, not per-DC; hyperlocal_outofstockproductsdcmapping is presence/absence only, not a quantity — neither should be silently substituted as a DC-level inventory proxy"
