Routing Agent (Route Sequencing & Multi-Plan Generation) — Master Configuration Table — v5 (FINAL — all 20 items resolved),,,,,,,,
"Position in pipeline: Data Normalization Agent -> BO Scoring Engine (Ranked_Pool / Daily_Task_List, Priority_Score, Matched_Purposes) -> THIS AGENT (Routing Agent, part of the AI Planning Layer) -> SE App / Manager UI (plan selection) -> Pathik execution tables.",,,,,,,,
"This agent sequences and packages routes. It never re-scores DCs, re-ranks objectives, or changes a DC's assigned Purpose — that stays the BO Scoring Engine's job, upstream of this. v5 closes OQ-19 and OQ-20 by design decision (rationale in Decision Log) — no open items remain that block a v1 build.",,,,,,,,
Section,Q#,Parameter / Topic,Question,System Default / Existing Value,Confirmed / Configured Value,Calculation Formula / Logic,Status,Follow-up Needed
,R3.2,Travel time estimate,How is travel time between stops computed?,Not previously defined anywhere in Data Norm or BO Config docs,Derived from the finalized Haversine-based Distance_Leg (R3.1) via an average-speed assumption,"Travel_Time_Leg(i,j) = Distance_Leg(i,j) / Avg_Speed_Kmph, Avg_Speed_Kmph = [FILL IN, e.g. 25-30 km/h for mixed rural/semi-urban roads]",Method confirmed; Avg_Speed_Kmph still undefined,"This remains the single most important undefined number in the whole sheet — it directly drives the R1.2 travel-floor check. Recommend a business/ops call on this before build, since OQ-19/20 didn't address it (still standing from v1/v4)"
,R3.3,Origin/return point,Does the route return to its starting point?,N/A,"CONFIRMED (OQ-8): Yes — closed route, returns to Origin_Point","Route = [Origin_Point, Stop_1, ..., Stop_N, Origin_Point]",Confirmed,None
Section 4 — Route Generation Models (Requirement: models must be named + formula given; minimum 3 required),,,,,,,,
,R4.1,Model 1 — Priority-Max (recommended primary),Which model maximizes business-priority capture within the day's budget?,N/A,"Engine: Google OR-Tools Routing Solver (CP-based), Orienteering / Prize-Collecting formulation","Maximize SUM(Priority_Score(DC_i) x Visited(DC_i)) subject to: SUM(Travel_Time_Leg, Haversine-based, final) >= Min_Travel_Minutes (R1.2); SUM(Travel_Time+Visit_Time) <= Field_Minutes_Available (R1.1); COUNT(Visited) <= 5 (R1.7). No distance cap (OQ-13). Implementation: single vehicle, closed route (R3.3), one Time Dimension (cap R1.1, floor R1.2), AddDisjunction(node, penalty=Priority_Score(DC)) per candidate.",Recommended primary model — FINAL,None
,R4.2,Model 2 — Distance-Min / Efficiency (recommended secondary),Which model minimizes travel for a fixed high-priority stop set?,N/A,"Engine: custom Python — Nearest Neighbor construction + 2-opt/Or-opt local-search improvement, over finalized Haversine-based distances (R3.1)","Visit_Set = TOP-K(Ranked_Pool, BY Priority_Score) where K = largest K such that a valid closed route satisfies R1.1/R1.2/R1.7; minimize SUM(Distance(Stop_i, Stop_i+1)) via NN construction + 2-opt improvement",Recommended secondary model — FINAL,None
,R4.3,Model 3 — Balanced / Weighted (recommended tertiary),Which model blends priority-capture and travel efficiency?,N/A,"Engine: Clarke-Wright Savings construction + 2-opt, candidate stop-set chosen to maximize a blended score","Blended_Score(Visit_Set) = alpha x Normalized_Priority_Captured(Visit_Set) + (1-alpha) x (1 - Normalized_Travel_Time(Visit_Set)). FINAL (OQ-18, self-resolved OQ-20): Alpha_Node = Alpha_Min + (Alpha_Max - Alpha_Min) x (1 - Normalized_Avg_Travel_Time_Node), where Normalized_Avg_Travel_Time_Node = (Avg_Travel_Time_Node - Min_Across_All_Nodes) / (Max_Across_All_Nodes - Min_Across_All_Nodes). CONFIRMED bounds: Alpha_Min=0.4, Alpha_Max=0.8, Global_Default_Alpha=0.6 (used where a node has insufficient history). Direction locked: higher historical travel time at a node -> LOWER alpha (leans Model 3 toward efficiency, since travel is already the scarcer resource and more likely to threaten the R1.2 floor there); lower historical travel time -> HIGHER alpha (leans toward priority-capture, since travel isn't the bottleneck).","CONFIRMED — FINAL, resolved by design decision (OQ-20). Rationale in Decision Log.","None — resolved. Direction and bounds can be revisited after a few weeks of live data if Model 3's behavior doesn't match field expectations, but this does not block build."
,R4.4,Model 4 — SE Self-Override,"Should a manually-pinned route be supported, and by whom?",N/A,"CONFIRMED (OQ-9 + OQ-7): Yes, in scope for v1 — the SE can manually pin/adjust a subset or sequence; validated against guardrails only",N/A — validation-only pass-through against R1.1/R1.2/R1.7/R2.2/GR-R1/GR-R2,"Confirmed, in scope for v1",None
Section 5 — Multi-Plan Sync & User Selection (Requirement: at least 3 route sync; user chooses),,,,,,,,
,R5.1,Number of plans generated & synced,How many alternative plans must be produced per SE per day?,N/A,"CONFIRMED (OQ-6): minimum 3 algorithm-generated plans (Models 1-3), synced together; selected plan syncs onward to downstream systems","Plans_Synced = COUNT(DISTINCT Plan_ID for Plan_Date, SE_ID) >= 3; Selected_Plan_Sync_Targets >= 3",Confirmed,None
,R5.2,Plan presentation to user,What does each plan show before selection?,N/A,"Total distance (informational, finalized Haversine-based), total time (travel vs. visit split), stops in order, Priority_Score captured, dropped DCs with reason",N/A — UI/output requirement,Confirmed,None
,R5.3,Selection mechanism,"Who picks the plan, and how is the choice recorded?",N/A,"CONFIRMED (OQ-7 + OQ-15): SE selects, after that day's punch-in, no fixed cutoff",Selected_Plan = Plans_Synced[i] WHERE User_Selection=i AND User_Role=SE AND Selection_Timestamp > Punch_In_Time (today),Confirmed,None
,R5.4,Fallback if no selection made,What happens if the SE doesn't choose a plan in time?,N/A,"Not applicable (OQ-15) — no cutoff, no forced default",N/A,Confirmed as not applicable,UX nicety only: consider an in-app reminder if unselected late in the day
,R5.5,Reproducibility / audit,Must the same inputs always produce the same 3 plans?,N/A,Yes — mirrors the Data Norm/BO Config determinism philosophy (GR-16/17),Fixed candidate pool + date snapshot always produces the same 3 plans — no randomization without a fixed seed,Confirmed,None
Section 6 — Output Schema,,,,,,,,
,R6.1,Per-plan output fields,What does each synced plan actually contain?,N/A,"Plan_ID, Plan_Type, SE_ID, Plan_Date, Origin_Point, Ordered_Stops[DC_ID, Sequence_No, Purposes, ETA, Distance_From_Prev(Haversine, final), Travel_Time_From_Prev, Visit_Duration], Total_Distance_KM (informational), Total_Travel_Minutes, Total_Visit_Minutes, Total_Minutes, Priority_Score_Captured, Dropped_DCs[DC_ID, Reason], Distance_Estimate_Mismatch_Flag (GR-R11), Feasible(TRUE/FALSE)",N/A,Confirmed — FINAL,
,R6.2,Header/summary fields,What carries through unchanged from the BO Scoring Engine?,N/A,"SE_ID, SE_Name, Plan_Date, Total_Capacity, Today's ranked objectives (per Data Norm Agent Section 11)","Pass-through, not recomputed by the Routing Agent",Confirmed,
